tracking_event_id,shipment_id,event_timestamp,event_type,event_location,latitude,longitude,event_source,event_payload,created_at
14,2,2025-05-27T08:31:59+00:00,delivered,Madrid,40.530318,-8.602271,mobile_app,"{""shipment_id"": 2, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-05-27T08:37:59+00:00
15,3,2025-02-11T06:15:29+00:00,created,Hub 12,51.043396,14.643118,tms,"{""shipment_id"": 3, ""status"": ""created"", ""source_quality"": ""low""}",2025-02-11T06:17:29+00:00
16,3,2025-02-11T09:39:29+00:00,picked_up,Hub 19,44.926909,5.003929,tms,"{""shipment_id"": 3, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-02-11T09:40:29+00:00
17,3,2025-02-11T12:24:29+00:00,departed_warehouse,Hub 24,41.815348,5.054383,manual,"{""shipment_id"": 3, ""status"": ""departed_warehouse"", ""source_quality"": ""low""}",2025-02-11T12:33:29+00:00
18,3,2025-02-11T14:42:29+00:00,in_transit,Hub 23,37.892046,-6.073377,tms,"{""shipment_id"": 3, ""status"": ""in_transit"", ""source_quality"": ""high""}",2025-02-11T14:51:29+00:00
19,3,2025-02-11T17:35:29+00:00,arrived_hub,Hub 09,37.292573,-6.332541,iot_gateway,"{""shipment_id"": 3, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-02-11T17:44:29+00:00
20,3,2025-02-11T19:58:29+00:00,out_for_delivery,Frankfurt,48.077428,8.283341,mobile_app,"{""shipment_id"": 3, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-02-11T20:04:29+00:00
21,3,2025-02-11T22:47:29+00:00,delivered,Frankfurt,37.385973,-3.916531,iot_gateway,"{""shipment_id"": 3, ""status"": ""delivered"", ""source_quality"": ""high""}",2025-02-11T22:54:29+00:00
22,4,2025-03-05T22:03:16+00:00,created,Hub 09,40.425124,1.3506,mobile_app,"{""shipment_id"": 4, ""status"": ""created"", ""source_quality"": ""medium""}",2025-03-05T22:04:16+00:00
23,4,2025-03-06T01:39:46+00:00,picked_up,Hub 07,40.650007,10.320442,mobile_app,"{""shipment_id"": 4, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-03-06T01:40:46+00:00
24,4,2025-03-06T05:13:16+00:00,departed_warehouse,Hub 05,47.771828,14.533853,manual,"{""shipment_id"": 4, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-03-06T05:21:16+00:00
25,4,2025-03-06T08:04:46+00:00,in_transit,Hub 01,48.070021,11.218358,mobile_app,"{""shipment_id"": 4, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-03-06T08:13:46+00:00
26,4,2025-03-06T12:01:16+00:00,arrived_hub,Hub 24,36.98232,9.941378,iot_gateway,"{""shipment_id"": 4, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-03-06T12:02:16+00:00
27,4,2025-03-06T15:44:46+00:00,out_for_delivery,Amsterdam,42.324628,2.259752,carrier_api,"{""shipment_id"": 4, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-03-06T15:53:46+00:00
28,4,2025-03-06T19:10:16+00:00,delivered,Amsterdam,43.163951,-0.893805,manual,"{""shipment_id"": 4, ""status"": ""delivered"", ""source_quality"": ""high""}",2025-03-06T19:19:16+00:00
29,5,2025-12-09T01:06:10+00:00,created,Hub 05,38.746882,10.871649,mobile_app,"{""shipment_id"": 5, ""status"": ""created"", ""source_quality"": ""medium""}",2025-12-09T01:09:10+00:00
30,5,2025-12-09T03:56:04+00:00,picked_up,Hub 10,36.06354,13.369518,tms,"{""shipment_id"": 5, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-12-09T04:05:04+00:00
31,5,2025-12-09T07:43:58+00:00,departed_warehouse,Hub 18,39.369753,-3.08794,carrier_api,"{""shipment_id"": 5, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-12-09T07:45:58+00:00
32,5,2025-12-09T10:51:52+00:00,in_transit,Hub 12,45.652629,-3.345766,manual,"{""shipment_id"": 5, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-12-09T10:53:52+00:00
33,5,2025-12-09T14:35:46+00:00,arrived_hub,Hub 08,41.407968,-0.98353,iot_gateway,"{""shipment_id"": 5, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-12-09T14:38:46+00:00
34,5,2025-12-09T17:16:40+00:00,out_for_delivery,Frankfurt,45.151233,11.161682,carrier_api,"{""shipment_id"": 5, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-12-09T17:22:40+00:00
35,5,2025-12-09T19:22:34+00:00,delivered,Frankfurt,47.570687,2.796672,mobile_app,"{""shipment_id"": 5, ""status"": ""delivered"", ""source_quality"": ""low""}",2025-12-09T19:31:34+00:00
36,6,2026-02-12T16:42:33+00:00,created,Hub 21,50.844034,0.485431,carrier_api,"{""shipment_id"": 6, ""status"": ""created"", ""source_quality"": ""medium""}",2026-02-12T16:47:33+00:00
37,6,2026-02-12T16:34:15+00:00,picked_up,Hub 03,37.731687,9.166369,mobile_app,"{""shipment_id"": 6, ""status"": ""picked_up"", ""source_quality"": ""low""}",2026-02-12T16:40:15+00:00
38,6,2026-02-12T19:12:57+00:00,departed_warehouse,Hub 01,44.206265,-7.631987,manual,"{""shipment_id"": 6, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2026-02-12T19:19:57+00:00
39,6,2026-02-12T19:16:39+00:00,in_transit,Hub 09,49.858052,-6.623013,iot_gateway,"{""shipment_id"": 6, ""status"": ""in_transit"", ""source_quality"": ""high""}",2026-02-12T19:19:39+00:00
40,6,2026-02-12T20:28:21+00:00,arrived_hub,Hub 17,43.507694,10.69688,mobile_app,"{""shipment_id"": 6, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2026-02-12T20:30:21+00:00
41,6,2026-02-12T23:34:03+00:00,out_for_delivery,Rotterdam,49.245677,-8.921647,tms,"{""shipment_id"": 6, ""status"": ""out_for_delivery"", ""source_quality"": ""low""}",2026-02-12T23:36:03+00:00
42,6,2026-02-12T22:40:45+00:00,delivered,Rotterdam,37.384593,3.358446,manual,"{""shipment_id"": 6, ""status"": ""delivered"", ""source_quality"": ""high""}",2026-02-12T22:42:45+00:00
43,7,2025-03-02T06:56:40+00:00,created,Hub 09,40.602855,-3.27926,carrier_api,"{""shipment_id"": 7, ""status"": ""created"", ""source_quality"": ""medium""}",2025-03-02T06:58:40+00:00
44,7,2025-03-02T18:19:16+00:00,cancelled,Hub 02,48.119898,6.358469,mobile_app,"{""shipment_id"": 7, ""status"": ""cancelled"", ""source_quality"": ""high""}",2025-03-02T18:25:16+00:00
45,8,2025-08-03T13:14:05+00:00,created,Hub 02,42.541068,6.856498,manual,"{""shipment_id"": 8, ""status"": ""created"", ""source_quality"": ""low""}",2025-08-03T13:15:05+00:00
46,8,2025-08-04T03:13:17+00:00,cancelled,Hub 01,46.73129,-6.341253,mobile_app,"{""shipment_id"": 8, ""status"": ""cancelled"", ""source_quality"": ""low""}",2025-08-04T03:15:17+00:00
47,9,2026-02-28T04:11:56+00:00,created,Hub 10,46.591988,14.33194,carrier_api,"{""shipment_id"": 9, ""status"": ""created"", ""source_quality"": ""medium""}",2026-02-28T04:13:56+00:00
48,9,2026-02-28T18:06:56+00:00,cancelled,Hub 17,44.816019,1.592997,tms,"{""shipment_id"": 9, ""status"": ""cancelled"", ""source_quality"": ""low""}",2026-02-28T18:09:56+00:00
49,10,2025-01-03T04:46:00+00:00,created,Hub 04,45.551046,5.91502,iot_gateway,"{""shipment_id"": 10, ""status"": ""created"", ""source_quality"": ""medium""}",2025-01-03T04:53:00+00:00
50,10,2025-01-03T12:31:12+00:00,picked_up,Hub 11,52.093361,14.507891,manual,"{""shipment_id"": 10, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-01-03T12:37:12+00:00
51,10,2025-01-03T20:26:24+00:00,departed_warehouse,Hub 04,49.286887,-1.936,mobile_app,"{""shipment_id"": 10, ""status"": ""departed_warehouse"", ""source_quality"": ""low""}",2025-01-03T20:29:24+00:00
52,10,2025-01-04T01:42:36+00:00,in_transit,Hub 13,42.803748,-7.31536,carrier_api,"{""shipment_id"": 10, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-01-04T01:51:36+00:00
53,10,2025-01-04T10:05:48+00:00,arrived_hub,Hub 21,41.419803,0.137423,manual,"{""shipment_id"": 10, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-01-04T10:14:48+00:00
54,10,2025-01-04T16:00:00+00:00,out_for_delivery,Braga,36.851479,-3.778143,tms,"{""shipment_id"": 10, ""status"": ""out_for_delivery"", ""source_quality"": ""low""}",2025-01-04T16:06:00+00:00
55,10,2025-01-04T22:45:12+00:00,delivered,Braga,46.589887,2.870044,carrier_api,"{""shipment_id"": 10, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-01-04T22:47:12+00:00
56,11,2025-12-13T10:40:54+00:00,created,Hub 12,36.669332,-2.427675,iot_gateway,"{""shipment_id"": 11, ""status"": ""created"", ""source_quality"": ""medium""}",2025-12-13T10:42:54+00:00
57,11,2025-12-13T12:50:00+00:00,picked_up,Hub 19,41.901281,-4.330792,tms,"{""shipment_id"": 11, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-12-13T12:53:00+00:00
58,11,2025-12-13T14:46:06+00:00,departed_warehouse,Hub 01,50.676133,7.703051,tms,"{""shipment_id"": 11, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-12-13T14:55:06+00:00
59,11,2025-12-13T18:47:12+00:00,in_transit,Hub 22,49.403907,-7.200969,carrier_api,"{""shipment_id"": 11, ""status"": ""in_transit"", ""source_quality"": ""high""}",2025-12-13T18:53:12+00:00
60,11,2025-12-13T20:44:18+00:00,arrived_hub,Hub 05,50.220936,4.113222,manual,"{""shipment_id"": 11, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-12-13T20:47:18+00:00
61,11,2025-12-13T23:35:24+00:00,out_for_delivery,Hamburg,42.379975,14.891866,tms,"{""shipment_id"": 11, ""status"": ""out_for_delivery"", ""source_quality"": ""high""}",2025-12-13T23:42:24+00:00
62,11,2025-12-14T02:35:30+00:00,delivered,Hamburg,49.048849,-6.701285,carrier_api,"{""shipment_id"": 11, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-12-14T02:37:30+00:00
63,12,2025-05-21T17:12:54+00:00,created,Hub 02,48.075619,0.547547,mobile_app,"{""shipment_id"": 12, ""status"": ""created"", ""source_quality"": ""low""}",2025-05-21T17:19:54+00:00
64,12,2025-05-21T20:02:06+00:00,picked_up,Hub 11,37.480953,1.536436,tms,"{""shipment_id"": 12, ""status"": ""picked_up"", ""source_quality"": ""high""}",2025-05-21T20:09:06+00:00
65,12,2025-05-21T23:14:18+00:00,departed_warehouse,Hub 09,52.642123,10.858836,mobile_app,"{""shipment_id"": 12, ""status"": ""departed_warehouse"", ""source_quality"": ""low""}",2025-05-21T23:21:18+00:00
66,12,2025-05-22T02:14:30+00:00,in_transit,Hub 08,45.89135,5.429662,mobile_app,"{""shipment_id"": 12, ""status"": ""in_transit"", ""source_quality"": ""low""}",2025-05-22T02:21:30+00:00
67,12,2025-05-22T03:12:42+00:00,arrived_hub,Hub 13,37.110195,-0.140804,carrier_api,"{""shipment_id"": 12, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-05-22T03:19:42+00:00
68,12,2025-05-22T07:35:54+00:00,out_for_delivery,Toulouse,38.787793,10.540872,manual,"{""shipment_id"": 12, ""status"": ""out_for_delivery"", ""source_quality"": ""low""}",2025-05-22T07:36:54+00:00
69,12,2025-05-22T10:51:06+00:00,delivered,Toulouse,45.453885,0.902601,iot_gateway,"{""shipment_id"": 12, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-05-22T10:59:06+00:00
70,13,2025-01-20T09:16:38+00:00,created,Hub 23,44.845351,-1.870327,tms,"{""shipment_id"": 13, ""status"": ""created"", ""source_quality"": ""low""}",2025-01-20T09:18:38+00:00
71,13,2025-01-22T05:23:38+00:00,cancelled,Hub 11,52.712036,7.263384,tms,"{""shipment_id"": 13, ""status"": ""cancelled"", ""source_quality"": ""medium""}",2025-01-22T05:30:38+00:00
72,14,2025-09-03T17:05:06+00:00,created,Hub 21,47.678094,8.705016,mobile_app,"{""shipment_id"": 14, ""status"": ""created"", ""source_quality"": ""high""}",2025-09-03T17:06:06+00:00
73,14,2025-09-04T00:36:06+00:00,picked_up,Hub 03,44.106588,-4.177382,manual,"{""shipment_id"": 14, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-09-04T00:45:06+00:00
74,14,2025-09-04T12:10:06+00:00,departed_warehouse,Hub 03,44.912917,-7.398798,manual,"{""shipment_id"": 14, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-09-04T12:14:06+00:00
75,14,2025-09-04T16:34:06+00:00,in_transit,Hub 05,36.789785,11.760103,manual,"{""shipment_id"": 14, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-09-04T16:39:06+00:00
76,14,2025-09-05T00:57:06+00:00,arrived_hub,Hub 20,38.066805,3.706077,mobile_app,"{""shipment_id"": 14, ""status"": ""arrived_hub"", ""source_quality"": ""low""}",2025-09-05T01:04:06+00:00
77,14,2025-09-05T08:14:06+00:00,out_for_delivery,Madrid,39.121922,7.036704,iot_gateway,"{""shipment_id"": 14, ""status"": ""out_for_delivery"", ""source_quality"": ""high""}",2025-09-05T08:20:06+00:00
78,14,2025-09-05T15:11:06+00:00,delivered,Madrid,51.559087,-8.044883,carrier_api,"{""shipment_id"": 14, ""status"": ""delivered"", ""source_quality"": ""low""}",2025-09-05T15:13:06+00:00
79,15,2025-06-02T15:28:51+00:00,created,Hub 06,42.276248,-6.327279,mobile_app,"{""shipment_id"": 15, ""status"": ""created"", ""source_quality"": ""medium""}",2025-06-02T15:31:51+00:00
80,15,2025-06-02T16:48:33+00:00,picked_up,Hub 07,44.323013,-1.635455,iot_gateway,"{""shipment_id"": 15, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-06-02T16:50:33+00:00
81,15,2025-06-02T17:39:15+00:00,departed_warehouse,Hub 03,43.501386,14.021157,iot_gateway,"{""shipment_id"": 15, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-06-02T17:45:15+00:00
82,15,2025-06-02T18:07:57+00:00,in_transit,Hub 04,51.288536,13.189288,iot_gateway,"{""shipment_id"": 15, ""status"": ""in_transit"", ""source_quality"": ""high""}",2025-06-02T18:09:57+00:00
83,15,2025-06-02T19:36:39+00:00,arrived_hub,Hub 22,47.544359,13.869512,mobile_app,"{""shipment_id"": 15, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-06-02T19:44:39+00:00
84,15,2025-06-02T20:15:21+00:00,out_for_delivery,Rotterdam,37.204549,5.319612,iot_gateway,"{""shipment_id"": 15, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-06-02T20:18:21+00:00
85,15,2025-06-02T22:22:03+00:00,delivered,Rotterdam,52.546995,6.307088,carrier_api,"{""shipment_id"": 15, ""status"": ""delivered"", ""source_quality"": ""low""}",2025-06-02T22:26:03+00:00
86,16,2025-03-21T03:20:15+00:00,created,Hub 04,50.916886,-6.114236,carrier_api,"{""shipment_id"": 16, ""status"": ""created"", ""source_quality"": ""medium""}",2025-03-21T03:23:15+00:00
87,16,2025-03-21T05:34:51+00:00,picked_up,Hub 04,44.748908,1.638138,carrier_api,"{""shipment_id"": 16, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-03-21T05:36:51+00:00
88,16,2025-03-21T06:12:27+00:00,departed_warehouse,Hub 21,40.69699,-5.004154,iot_gateway,"{""shipment_id"": 16, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-03-21T06:21:27+00:00
89,16,2025-03-21T08:17:03+00:00,in_transit,Hub 18,44.403739,9.824108,mobile_app,"{""shipment_id"": 16, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-03-21T08:24:03+00:00
90,16,2025-03-21T11:28:39+00:00,arrived_hub,Hub 17,41.75034,11.069295,iot_gateway,"{""shipment_id"": 16, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-03-21T11:29:39+00:00
91,16,2025-03-21T13:27:15+00:00,out_for_delivery,Lisbon,42.549736,9.392824,mobile_app,"{""shipment_id"": 16, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-03-21T13:32:15+00:00
92,16,2025-03-21T15:43:51+00:00,delivered,Lisbon,47.479336,4.105176,manual,"{""shipment_id"": 16, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-03-21T15:52:51+00:00
93,17,2025-08-24T01:32:46+00:00,created,Hub 09,40.632078,5.273442,tms,"{""shipment_id"": 17, ""status"": ""created"", ""source_quality"": ""low""}",2025-08-24T01:41:46+00:00
94,17,2025-08-24T05:53:46+00:00,picked_up,Hub 08,52.884532,0.603755,carrier_api,"{""shipment_id"": 17, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-08-24T05:59:46+00:00
95,17,2025-08-24T07:10:46+00:00,departed_warehouse,Hub 08,37.89659,8.106771,carrier_api,"{""shipment_id"": 17, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-08-24T07:15:46+00:00
96,17,2025-08-24T08:50:46+00:00,in_transit,Hub 23,51.479188,10.132404,tms,"{""shipment_id"": 17, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-08-24T08:55:46+00:00
97,17,2025-08-24T12:25:46+00:00,arrived_hub,Hub 06,41.354093,-6.418732,iot_gateway,"{""shipment_id"": 17, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-08-24T12:31:46+00:00
98,17,2025-08-24T14:45:46+00:00,out_for_delivery,Frankfurt,44.342233,1.504826,carrier_api,"{""shipment_id"": 17, ""status"": ""out_for_delivery"", ""source_quality"": ""low""}",2025-08-24T14:54:46+00:00
99,17,2025-08-24T16:17:46+00:00,delivered,Frankfurt,52.605715,-0.53892,mobile_app,"{""shipment_id"": 17, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-08-24T16:21:46+00:00
100,18,2025-01-10T07:33:54+00:00,created,Hub 22,48.771283,10.875724,iot_gateway,"{""shipment_id"": 18, ""status"": ""created"", ""source_quality"": ""medium""}",2025-01-10T07:41:54+00:00
101,18,2025-01-10T20:02:36+00:00,picked_up,Hub 07,51.473814,-1.564315,iot_gateway,"{""shipment_id"": 18, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-01-10T20:05:36+00:00
102,18,2025-01-11T12:29:18+00:00,departed_warehouse,Hub 22,36.102967,-7.707345,manual,"{""shipment_id"": 18, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-01-11T12:36:18+00:00
103,18,2025-01-12T02:59:00+00:00,in_transit,Hub 18,47.757386,7.941003,carrier_api,"{""shipment_id"": 18, ""status"": ""in_transit"", ""source_quality"": ""high""}",2025-01-12T03:07:00+00:00
104,18,2025-01-12T17:07:42+00:00,arrived_hub,Hub 21,45.211355,-1.636459,mobile_app,"{""shipment_id"": 18, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2025-01-12T17:10:42+00:00
105,18,2025-01-13T09:25:24+00:00,out_for_delivery,Porto,40.515726,-2.396073,carrier_api,"{""shipment_id"": 18, ""status"": ""out_for_delivery"", ""source_quality"": ""high""}",2025-01-13T09:33:24+00:00
106,18,2025-01-14T01:50:06+00:00,delivered,Porto,46.716288,3.922573,tms,"{""shipment_id"": 18, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-01-14T01:55:06+00:00
107,19,2025-11-14T23:22:41+00:00,created,Hub 04,40.755227,14.667663,iot_gateway,"{""shipment_id"": 19, ""status"": ""created"", ""source_quality"": ""high""}",2025-11-14T23:30:41+00:00
108,19,2025-11-15T07:52:41+00:00,picked_up,Hub 02,36.590593,-3.611057,manual,"{""shipment_id"": 19, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-11-15T08:01:41+00:00
109,19,2025-11-15T15:21:41+00:00,departed_warehouse,Hub 08,45.691536,8.525541,tms,"{""shipment_id"": 19, ""status"": ""departed_warehouse"", ""source_quality"": ""low""}",2025-11-15T15:24:41+00:00
110,19,2025-11-15T22:13:41+00:00,in_transit,Hub 10,42.920483,-8.60974,tms,"{""shipment_id"": 19, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-11-15T22:14:41+00:00
111,19,2025-11-16T05:56:41+00:00,arrived_hub,Hub 08,37.453832,12.034905,mobile_app,"{""shipment_id"": 19, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-11-16T05:58:41+00:00
112,19,2025-11-16T13:30:41+00:00,out_for_delivery,Madrid,46.357072,5.903226,mobile_app,"{""shipment_id"": 19, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-11-16T13:34:41+00:00
113,19,2025-11-16T20:37:41+00:00,delivered,Madrid,40.37626,11.997808,carrier_api,"{""shipment_id"": 19, ""status"": ""delivered"", ""source_quality"": ""high""}",2025-11-16T20:39:41+00:00
114,20,2025-09-23T18:00:00+00:00,created,Hub 12,41.610026,-0.216476,iot_gateway,"{""shipment_id"": 20, ""status"": ""created"", ""source_quality"": ""high""}",2025-09-23T18:08:00+00:00
115,20,2025-09-24T01:50:00+00:00,picked_up,Hub 16,51.074433,-2.394357,carrier_api,"{""shipment_id"": 20, ""status"": ""picked_up"", ""source_quality"": ""low""}",2025-09-24T01:56:00+00:00
116,20,2025-09-24T08:48:00+00:00,departed_warehouse,Hub 01,52.94863,10.710741,carrier_api,"{""shipment_id"": 20, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-09-24T08:52:00+00:00
117,20,2025-09-24T16:55:00+00:00,in_transit,Hub 01,48.793797,10.84151,carrier_api,"{""shipment_id"": 20, ""status"": ""in_transit"", ""source_quality"": ""low""}",2025-09-24T17:01:00+00:00
118,20,2025-09-25T00:36:00+00:00,arrived_hub,Hub 22,38.339391,1.108808,carrier_api,"{""shipment_id"": 20, ""status"": ""arrived_hub"", ""source_quality"": ""high""}",2025-09-25T00:43:00+00:00
119,20,2025-09-25T07:03:00+00:00,out_for_delivery,Madrid,36.941009,-4.387316,carrier_api,"{""shipment_id"": 20, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-09-25T07:05:00+00:00
120,20,2025-09-25T14:38:00+00:00,delivered,Madrid,51.916636,-0.039763,tms,"{""shipment_id"": 20, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-09-25T14:40:00+00:00
121,21,2025-05-10T13:34:45+00:00,created,Hub 03,49.505013,6.55703,manual,"{""shipment_id"": 21, ""status"": ""created"", ""source_quality"": ""high""}",2025-05-10T13:40:45+00:00
122,21,2025-05-10T16:40:57+00:00,picked_up,Hub 08,49.705759,10.280136,carrier_api,"{""shipment_id"": 21, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-05-10T16:46:57+00:00
123,21,2025-05-10T19:07:09+00:00,departed_warehouse,Hub 04,47.654541,-2.549349,iot_gateway,"{""shipment_id"": 21, ""status"": ""departed_warehouse"", ""source_quality"": ""medium""}",2025-05-10T19:11:09+00:00
124,21,2025-05-10T21:46:21+00:00,in_transit,Hub 22,49.604208,12.582254,manual,"{""shipment_id"": 21, ""status"": ""in_transit"", ""source_quality"": ""high""}",2025-05-10T21:51:21+00:00
125,21,2025-05-11T01:59:33+00:00,arrived_hub,Hub 10,49.015493,-5.00047,mobile_app,"{""shipment_id"": 21, ""status"": ""arrived_hub"", ""source_quality"": ""low""}",2025-05-11T02:01:33+00:00
126,21,2025-05-11T04:26:45+00:00,out_for_delivery,Toulouse,52.418169,12.106783,carrier_api,"{""shipment_id"": 21, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-05-11T04:28:45+00:00
127,21,2025-05-11T06:35:57+00:00,delivered,Toulouse,36.714102,4.586653,manual,"{""shipment_id"": 21, ""status"": ""delivered"", ""source_quality"": ""medium""}",2025-05-11T06:37:57+00:00
128,22,2025-10-09T06:47:37+00:00,created,Hub 16,48.290224,-3.932309,manual,"{""shipment_id"": 22, ""status"": ""created"", ""source_quality"": ""medium""}",2025-10-09T06:51:37+00:00
129,22,2025-10-09T07:56:49+00:00,picked_up,Hub 20,38.241542,-0.372466,tms,"{""shipment_id"": 22, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-10-09T08:00:49+00:00
130,22,2025-10-09T11:57:01+00:00,departed_warehouse,Hub 05,52.342089,1.993452,iot_gateway,"{""shipment_id"": 22, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-10-09T12:04:01+00:00
131,22,2025-10-09T13:48:13+00:00,in_transit,Hub 22,47.169218,-8.971854,iot_gateway,"{""shipment_id"": 22, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-10-09T13:51:13+00:00
